year,geo_name,geo,race_name,race,num_ppl,num_ppl_moe
2014,"United States","01000US","White","1",105883494,157252.0
2014,"United States","01000US","Black or African American","2",16309709,68233.5
2014,"United States","01000US","American Indian","3",727501,17326.7
2014,"United States","01000US","Alaska Native","4",35641,3462.99
2014,"United States","01000US","Other Native American","5",165583,9843.65
2014,"United States","01000US","Asian","6",7951277,38010.0
2014,"United States","01000US","Native Hawaiian or Other Pacific Islander","7",248811,8952.35
2014,"United States","01000US","Unknown","8",6443350,71580.2
2014,"United States","01000US","Two or more races","9",3063634,52758.5
2015,"United States","01000US","White","1",106991372,147782.0
2015,"United States","01000US","Black or African American","2",16904816,76274.6
2015,"United States","01000US","American Indian","3",762406,20103.5
2015,"United States","01000US","Alaska Native","4",40183,3813.56
2015,"United States","01000US","Other Native American","5",159517,8793.08
2015,"United States","01000US","Asian","6",8272039,42904.9
2015,"United States","01000US","Native Hawaiian or Other Pacific Islander","7",239901,11996.5
2015,"United States","01000US","Unknown","8",6721812,70808.1
2015,"United States","01000US","Two or more races","9",3314107,58063.2
2016,"United States","01000US","White","1",107615186,151605.0
2016,"United States","01000US","Black or African American","2",17336634,69694.2
2016,"United States","01000US","American Indian","3",784867,18303.5
2016,"United States","01000US","Alaska Native","4",37996,3646.41
2016,"United States","01000US","Other Native American","5",171312,10577.9
2016,"United States","01000US","Asian","6",8515598,44837.3
2016,"United States","01000US","Native Hawaiian or Other Pacific Islander","7",272302,8488.81
2016,"United States","01000US","Unknown","8",7201665,74127.4
2016,"United States","01000US","Two or more races","9",3456837,52913.1
